"G03_G02_T03.gene.id","G03_G02_T03.ENSEMBL","G03_G02_T03.ENTREZID","G03_G02_T03.SYMBOL","G03_G02_T03.logFC","G03_G02_T03.AveExpr","G03_G02_T03.t","G03_G02_T03.P.Value","G03_G02_T03.adj.P.Val","G03_G02_T03.B","G03_G02_T04.gene.id","G03_G02_T04.ENSEMBL","G03_G02_T04.ENTREZID","G03_G02_T04.SYMBOL","G03_G02_T04.logFC","G03_G02_T04.AveExpr","G03_G02_T04.t","G03_G02_T04.P.Value","G03_G02_T04.adj.P.Val","G03_G02_T04.B"
"ENSG00000055163","ENSG00000055130","8454","CUL1",-0.0402122955582121,8.55883424734122,-0.244281883969456,0.811065190632834,0.999935043429934,-6.62109384295948,"ENSG00000055163","ENSG00000055130","8454","CUL1",0.100683005826901,8.55883424734122,0.611312133740506,0.552193575671022,0.726430015296534,-6.81104653472027
"ENSG00000064309","ENSG00000064225","10402","ST3GAL6",-0.229342608434436,2.4428489249397,-0.69377013928251,0.50079972964583,0.999935043429934,-5.80721129611605,"ENSG00000064309","ENSG00000064225","10402","ST3GAL6",-0.0485398995366435,2.4428489249397,-0.153177371919763,0.880758312567186,0.937168028963976,-6.42341605486134
"ENSG00000100416","ENSG00000100387","9978","RBX1",-0.110115071171572,3.97601444099663,-0.488667977413855,0.633727437533618,0.999935043429934,-6.31090436665416,"ENSG00000100416","ENSG00000100387","9978","RBX1",0.0456455369927561,3.97601444099663,0.197997386236021,0.846302110638143,0.917487133005854,-6.74613695026191
"ENSG00000106049","ENSG00000106003","3955","LFNG",-0.29876050215191,4.55283229325918,-1.39682779012027,0.187311903625538,0.999935043429934,-5.58024930362317,"ENSG00000106049","ENSG00000106003","3955","LFNG",-0.206545449305805,4.55283229325918,-0.932975068312918,0.368897971953338,0.579696629407689,-6.40912076293914
"ENSG00000108826","ENSG00000108773","2648","KAT2A",-0.0907458706413569,3.9609052820919,-0.330156256392231,0.746872230382887,0.999935043429934,-6.37138054472893,"ENSG00000108826","ENSG00000108773","2648","KAT2A",0.463013911798594,3.9609052820919,1.65610297193092,0.123131113944979,0.30759860971853,-5.44650398643547
"ENSG00000110092","ENSG00000110042","23220","DTX4",-1.79934889080585,4.42195854936484,-4.73199001170531,0.000463190550779541,0.0774388430824709,0.0690284228437594,"ENSG00000110092","ENSG00000110042","23220","DTX4",-1.66267497150303,4.42195854936484,-3.30595235208268,0.00612942515920924,0.0749609497074722,-2.54288924626834
"ENSG00000112144","ENSG00000112033","5467","PPARD",-0.143914840807222,4.7064707936784,-0.662206415728212,0.520130319274623,0.999935043429934,-6.31150505350349,"ENSG00000112144","ENSG00000112033","5467","PPARD",-0.84748947081349,4.7064707936784,-3.81150849310288,0.00240004097068636,0.0499417007553618,-1.7761534523324
"ENSG00000113658","ENSG00000113558","6500","SKP1",0.114674401716282,2.86674909604639,0.153455718574854,0.880543462220362,0.999935043429934,-6.16019285370036,"ENSG00000113658","ENSG00000113558","6500","SKP1",-0.340268637542082,2.86674909604639,-0.460148212490355,0.653488564768852,0.798299684930084,-6.42089910479238
"ENSG00000114416","ENSG00000114251","7474","WNT5A",-0.0954380236231819,7.001661435935,-0.72502290181133,0.482088691042669,0.999935043429934,-6.38181088257477,"ENSG00000114416","ENSG00000114251","7474","WNT5A",-0.220077781493256,7.001661435935,-1.6593423155602,0.122468559629646,0.30670135763344,-5.67327336491108
"ENSG00000114455","ENSG00000114315","3280","HES1",0.808822245348654,-1.62320848920339,0.687809413194014,0.504417157301659,0.999935043429934,-4.93066686715351,"ENSG00000114455","ENSG00000114315","3280","HES1",0.136487950381697,-1.62320848920339,0.142520131193827,0.888991704483515,0.942070581537768,-5.49712170598367
