"G03_G02_T03.gene.id","G03_G02_T03.ENSEMBL","G03_G02_T03.ENTREZID","G03_G02_T03.SYMBOL","G03_G02_T03.logFC","G03_G02_T03.AveExpr","G03_G02_T03.t","G03_G02_T03.P.Value","G03_G02_T03.adj.P.Val","G03_G02_T03.B","G03_G02_T04.gene.id","G03_G02_T04.ENSEMBL","G03_G02_T04.ENTREZID","G03_G02_T04.SYMBOL","G03_G02_T04.logFC","G03_G02_T04.AveExpr","G03_G02_T04.t","G03_G02_T04.P.Value","G03_G02_T04.adj.P.Val","G03_G02_T04.B"
"ENSG00000005483","ENSG00000005471","5244","ABCB4",-0.0798689148149344,8.21527737429758,-0.369597983604195,0.718006452187527,0.999935043429934,-6.58080763271808,"ENSG00000005483","ENSG00000005471","5244","ABCB4",-0.378135302758583,8.21527737429758,-1.74802328074996,0.105511314047944,0.281467724710072,-5.54633326137259
"ENSG00000023892","ENSG00000023839","1244","ABCC2",0.987142045916138,6.32250952613154,6.17112450157629,4.42102143802619e-05,0.0178411082376622,2.37638375837128,"ENSG00000023892","ENSG00000023839","1244","ABCC2",0.54600642541247,6.32250952613154,3.41036007949881,0.00504411138460828,0.0694061229679749,-2.6293619719139
"ENSG00000064726","ENSG00000064687","10347","ABCA7",-0.230904032807764,6.28058713412713,-1.37901182888814,0.192604503931207,0.999935043429934,-5.71782040050815,"ENSG00000064726","ENSG00000064687","10347","ABCA7",-0.0136959008663261,6.28058713412713,-0.0805638397035763,0.937093016245424,0.966526971811524,-6.99504884181443
"ENSG00000069509","ENSG00000069431","10060","ABCC9",0.144800856642862,2.95022353671133,0.54902175814506,0.592879342736157,0.999935043429934,-6.0413182572017,"ENSG00000069509","ENSG00000069431","10060","ABCC9",-0.230622404934045,2.95022353671133,-0.879941586705848,0.395863259249301,0.602235272880951,-6.15411261133172
"ENSG00000085719","ENSG00000085563","5243","ABCB1",0.0566983336091741,6.72477988294927,0.412417211872457,0.687175694047372,0.999935043429934,-6.56776879377487,"ENSG00000085719","ENSG00000085563","5243","ABCB1",-0.0303072643847924,6.72477988294927,-0.218752092308049,0.830453420514974,0.909300718897013,-6.98067495958838
"ENSG00000102032","ENSG00000101986","215","ABCD1",0.40254257901428,1.90452195970532,0.872406347696814,0.39980113293694,0.999935043429934,-5.41236521543448,"ENSG00000102032","ENSG00000101986","215","ABCD1",-0.0313910580819017,1.90452195970532,-0.079045742204726,0.938275705129819,0.967201671552389,-6.24878505458982
"ENSG00000103257","ENSG00000103222","4363","ABCC1",0.255321366648775,9.12106803710268,0.630371361479539,0.540059116038664,0.999935043429934,-6.43372026250244,"ENSG00000103257","ENSG00000103222","4363","ABCC1",1.57557648081484,9.12106803710268,3.90776302342509,0.00201204629367043,0.0465496588254057,-1.70959783004254
"ENSG00000107537","ENSG00000107331","20","ABCA2",0.0108684051560972,2.53165950355646,0.033295404193967,0.973976595105973,0.999935043429934,-5.98675039563686,"ENSG00000107537","ENSG00000107331","20","ABCA2",0.368564472056499,2.53165950355646,1.25656944411983,0.232395210448154,0.443750713649925,-5.65389702854215
"ENSG00000114933","ENSG00000114770","10057","ABCC5",-0.178830450049373,6.37301717792816,-1.2418457160051,0.237596168887797,0.999935043429934,-5.88571819559161,"ENSG00000114933","ENSG00000114770","10057","ABCC5",-0.645076950096615,6.37301717792816,-4.3918974579266,0.000840871621957232,0.034408113957222,-0.818718374147822
"ENSG00000115828","ENSG00000115657","10058","ABCB6",0.145985556263773,2.73471912673185,0.437556309025642,0.669340058310938,0.999935043429934,-6.28835235503837,"ENSG00000115828","ENSG00000115657","10058","ABCB6",0.934945296691379,2.73471912673185,1.99383445251888,0.0689709803477361,0.226287463697661,-4.60311783359631
"ENSG00000117643","ENSG00000117528","5825","ABCD3",1.0331901393561,6.33451851870286,4.20400382206899,0.00117611380956972,0.125743840800198,-0.875667291548096,"ENSG00000117643","ENSG00000117528","5825","ABCD3",0.914223750199287,6.33451851870286,3.76147299576986,0.00263128756565358,0.0514089455439797,-1.9726542692433
"ENSG00000121481","ENSG00000121270","85320","ABCC11",-0.0328713845983547,5.42096459960234,-0.193319217308109,0.849884420623615,0.999935043429934,-6.60166888289951,"ENSG00000121481","ENSG00000121270","85320","ABCC11",-0.076945356062295,5.42096459960234,-0.442812761484323,0.665636676169878,0.807164648348988,-6.85173787987515
"ENSG00000125450","ENSG00000125257","10257","ABCC4",0.0546239815576418,4.73945044470321,0.358671792138867,0.725959856017935,0.999935043429934,-6.48276503361102,"ENSG00000125450","ENSG00000125257","10257","ABCC4",0.364290947005685,4.73945044470321,2.34969353915151,0.0363803301377546,0.163209666626293,-4.45431586998306
"ENSG00000131480","ENSG00000131269","22","ABCB7",0.00921895667481542,-0.00959861222906638,0.0217344020820502,0.983010627664178,0.999935043429934,-5.6053780776322,"ENSG00000131480","ENSG00000131269","22","ABCB7",0.469021474839679,-0.00959861222906638,1.04269343646097,0.317276339100144,0.529759594305748,-5.35821909941619
"ENSG00000135930","ENSG00000135776","23456","ABCB10",0.235700279180583,5.76116978684386,1.49693814915063,0.159781187890699,0.999935043429934,-5.53289669427114,"ENSG00000135930","ENSG00000135776","23456","ABCB10",0.371438129297691,5.76116978684386,2.35842810239289,0.0358038856314083,0.162382464626796,-4.52656397035225
"ENSG00000140995","ENSG00000140798","94160","ABCC12",0.181126509915466,3.97460242694395,0.595001485614231,0.562696760635585,0.999935043429934,-6.20303659763264,"ENSG00000140995","ENSG00000140798","94160","ABCC12",0.331224462911297,3.97460242694395,1.11583509428289,0.285950867829792,0.501608901477558,-6.13209323589461
"ENSG00000141504","ENSG00000141338","10351","ABCA8",-0.287018408233748,3.23195970066767,-0.9425842960423,0.364152724747192,0.999935043429934,-5.77349540359829,"ENSG00000141504","ENSG00000141338","10351","ABCA8",-0.415019774188313,3.23195970066767,-1.41707046063019,0.181445700112747,0.383157529487455,-5.62108968845679
"ENSG00000144152","ENSG00000143921","64241","ABCG8",0.964288006687955,5.79145186572347,4.61201280570743,0.000570673011639295,0.0844323013865899,-0.173366792105059,"ENSG00000144152","ENSG00000143921","64241","ABCG8",2.16824412229043,5.79145186572347,9.66947556425613,4.42653384010386e-07,0.000364063116694879,6.87474580295341
"ENSG00000144677","ENSG00000144452","26154","ABCA12",-0.178958058318517,1.11482197662769,-0.376630730213024,0.712905252946258,0.999935043429934,-5.5499413143555,"ENSG00000144677","ENSG00000144452","26154","ABCA12",-0.635460729987321,1.11482197662769,-1.54231875716107,0.148480794874861,0.340190755386502,-4.96691782359525
"ENSG00000151327","ENSG00000150967","23457","ABCB9",0.102215017502351,4.07972794910551,0.511333780282338,0.618228754358886,0.999935043429934,-6.31187927754367,"ENSG00000151327","ENSG00000150967","23457","ABCB9",0.438343735336285,4.07972794910551,2.15858442760398,0.0514446249016946,0.193400721241417,-4.68309744944874
"ENSG00000154710","ENSG00000154263","10349","ABCA10",-0.0344134407518378,5.33025736767911,-0.258620231886259,0.8002322267959,0.999935043429934,-6.58829985322136,"ENSG00000154710","ENSG00000154263","10349","ABCA10",0.00857426942386035,5.33025736767911,0.062360824614744,0.951283725087733,0.974686870486932,-6.94524843116537
"ENSG00000154719","ENSG00000154265","23461","ABCA5",-0.36114295371573,4.71376996424397,-1.5917119972905,0.136968844872721,0.999935043429934,-5.35486520204417,"ENSG00000154719","ENSG00000154265","23461","ABCA5",0.184088382565277,4.71376996424397,0.771057808956705,0.455320962709018,0.653257475368841,-6.56858133438523
"ENSG00000168175","ENSG00000167972","21","ABCA3",-0.0507796006776554,7.57085551376633,-0.220926584873535,0.828797293556468,0.999935043429934,-6.6258385370095,"ENSG00000168175","ENSG00000167972","21","ABCA3",0.553901649197368,7.57085551376633,2.405820440343,0.0328258315509736,0.156126976475692,-4.46850350711179
"ENSG00000168653","ENSG00000168394","6890","TAP1",0.107390220078673,6.0412685827022,0.62508959515649,0.543406763068263,0.999935043429934,-6.44730130183499,"ENSG00000168653","ENSG00000168394","6890","TAP1",0.448112864382479,6.0412685827022,2.57241840798122,0.0241393975460939,0.135269556708652,-4.16319845095193
"ENSG00000172650","ENSG00000172350","64137","ABCG4",0.152754801790313,2.20115853596855,0.472686432735306,0.644765975261046,0.999935043429934,-5.87210965192793,"ENSG00000172650","ENSG00000172350","64137","ABCG4",-0.123748424079053,2.20115853596855,-0.402888427507702,0.693988524410738,0.826504008721952,-6.29320782470699
"ENSG00000173482","ENSG00000173208","225","ABCD2",-0.152120808257056,1.60794843633419,-0.372402365430908,0.71597057979371,0.999935043429934,-5.65021269960248,"ENSG00000173482","ENSG00000173208","225","ABCD2",-0.35647624162314,1.60794843633419,-1.0082887363221,0.332861137947151,0.54484799457475,-5.68138951581022
"ENSG00000197451","ENSG00000197150","11194","ABCB8",0.0366469930061696,7.4964616125093,0.13258930014328,0.896676085660576,0.999935043429934,-6.64198166185758,"ENSG00000197451","ENSG00000197150","11194","ABCB8",0.704578128158086,7.4964616125093,2.54799156044992,0.0252567039108177,0.137671257778214,-4.21868498486184
"ENSG00000198863","ENSG00000198691","24","ABCA4",0.0131604902320269,4.27473151442863,0.066019080194192,0.948430259465939,0.999935043429934,-6.48224158206782,"ENSG00000198863","ENSG00000198691","24","ABCA4",-0.04910254757647,4.27473151442863,-0.241216537324915,0.813386518613976,0.90082922564014,-6.78740763385406
"ENSG00000204516","ENSG00000204267","6891","TAP2",0.0319746602447595,3.94550201499449,0.18499245413459,0.856269240139081,0.999935043429934,-6.31994929283809,"ENSG00000204516","ENSG00000204267","6891","TAP2",0.105429498908635,3.94550201499449,0.647539638375972,0.529258447638256,0.710563366168647,-6.52939129183728
