Rank	ID	GeneSet	BroadUrl	Description	PubMedID	NumGenes	Contributor	p.value	p.adj	vote.rank	avg.rank	med.rank	min.pvalue	min.rank	avg.logfc	avg.logfc.dir	direction	significance	camera	roast	plage	zscore	gsva	ssgsea	ora	fry
1	M2872	JAK2_DN.V1_DN	http://www.broadinstitute.org/gsea/msigdb/cards/JAK2_DN.V1_DN.html	Genes down-regulated in HEL cells (erythroleukemia) after knockdown of JAK2 [Gene ID=3717] gene by RNAi.		69/173	Pablo Tamayo	0.00965741512608617	0.999994284994964	5	38.125	2.5	0.00121230835804939	1	0.27596155658424	0.346872163629073	1	3.08432462824206	3	1	26	2	1	140	131	1
2	M2656	CSR_EARLY_UP.V1_UP	http://www.broadinstitute.org/gsea/msigdb/cards/CSR_EARLY_UP.V1_UP.html	Genes up-regulated in early serum response of CRL 2091 cells (foreskin fibroblasts).	14737219	91/164	Pablo Tamayo	0.0780326728453861	0.999994284994964	5	27	3	0.0101042917674828	1	0.26227748680064	0.35731188943237	1	2.77679744329068	4	2	123	1	2	33	49	2
3	M2723	LTE2_UP.V1_UP	http://www.broadinstitute.org/gsea/msigdb/cards/LTE2_UP.V1_UP.html	Genes up-regulated in MCF-7 cells (breast cancer) positive for ESR1 [Gene ID=2099] MCF-7 cells (breast cancer) and long-term adapted for estrogen-independent growth.	16585219	119/190	Pablo Tamayo	0.335545407424678	0.999994284994964	5	18	8	0.04981501476944	1	0.226464008692155	-0.247414081630499	-1	1.97194784224437	1	4	11	12	5	30	76	5
4	M2695	RELA_DN.V1_DN	http://www.broadinstitute.org/gsea/msigdb/cards/RELA_DN.V1_DN.html	Genes down-regulated in HEK293 cells (kidney fibroblasts) upon knockdown of RELA [Gene ID=5970] gene by RNAi.	15892871	81/141	Pablo Tamayo	0.134630465532601	0.999994284994964	10	13.125	10	0.0179124619416998	3	1.21123607428441	-1.21123607428441	-1	24.1030963923119	7	10	16	38	10	3	10	11
5	M2703	BCAT_BILD_ET_AL_UP	http://www.broadinstitute.org/gsea/msigdb/cards/BCAT_BILD_ET_AL_UP.html	Genes up-regulated in primary epithelial breast cancer cell culture over-expressing activated CTNNB1 [Gene ID=1499] gene.	16273092	23/49	Pablo Tamayo	0.419520091283372	0.999994284994964	10	31.25	11	0.0657278584585075	2	0.322037550025061	0.397911092674651	1	4.11980754968083	2	14	6	8	8	121	70	21
6	M2867	TBK1.DF_UP	http://www.broadinstitute.org/gsea/msigdb/cards/TBK1.DF_UP.html	Genes up-regulated in epithelial lung cancer cell lines upon over-expression of an oncogenic form of KRAS [Gene ID=3845] gene and knockdown of TBK1 [Gene ID=29110] gene by RNAi.	GSE17643	164/290	Pablo Tamayo	0.643202241188596	0.999994284994964	5	17.5	13	0.120870679619961	3	1.47385774055497	1.47385774055497	1	30.0050906829446	18	5	22	3	48	32	8	4
7	M2752	CTIP_DN.V1_UP	http://www.broadinstitute.org/gsea/msigdb/cards/CTIP_DN.V1_UP.html	Genes up-regulated in MCF10A cells (breast cancer) upon knockdown of RBBP8 [Gene ID=RBBP8] gene by RNAi.	16843262	62/138	Pablo Tamayo	0.493388492249223	0.999994284994964	10	36.375	15.5	0.0814889585764769	4	0.23051420698565	0.243400086717764	1	2.06296945346022	12	7	81	4	68	19	90	10
8	M2827	IL21_UP.V1_UP	http://www.broadinstitute.org/gsea/msigdb/cards/IL21_UP.V1_UP.html	Genes up-regulated in Sez-4 cells (T lymphocyte) that were first starved of IL2 [Gene ID=3558] and then stimulated with IL21 [Gene ID=59067].	18281483	99/193	Pablo Tamayo	0.590402327776249	0.999994284994964	10	33.625	16.5	0.105573444385688	3	2.71020405404401	2.71020405404401	1	57.7899607855493	21	3	143	6	17	57	16	6
9	M2901	KRAS.PROSTATE_UP.V1_DN	http://www.broadinstitute.org/gsea/msigdb/cards/KRAS.PROSTATE_UP.V1_DN.html	Genes down-regulated in epithelial prostate cancer cell lines over-expressing an oncogenic form of KRAS [Gene ID=3845] gene.		78/144	Pablo Tamayo	0.550549623198269	0.999994284994964	20	47.125	22	0.0951320236860777	13	0.287005459575377	-0.25784285807545	-1	3.33251836383751	17	15	114	27	13	31	143	17
10	M2660	CSR_LATE_UP.V1_UP	http://www.broadinstitute.org/gsea/msigdb/cards/CSR_LATE_UP.V1_UP.html	Genes up-regulated in late serum response of CRL 2091 cells (foreskin fibroblasts).	14737219	104/172	Pablo Tamayo	0.51605789762225	0.999994284994964	20	24.75	23.5	0.0867300334145019	6	0.217740868336274	-0.215292418127987	-1	1.77590946769626	6	18	27	17	24	23	51	32
