Rank	ID	GeneSet	BroadUrl	Description	PubMedID	NumGenes	Contributor	p.value	p.adj	vote.rank.mean	avg.rank	med.rank	min.pvalue	min.rank	avg.logfc	avg.logfc.dir	direction	significance
1	M2827	IL21_UP.V1_UP	http://www.broadinstitute.org/gsea/msigdb/cards/IL21_UP.V1_UP.html	Genes up-regulated in Sez-4 cells (T lymphocyte) that were first starved of IL2 [Gene ID=3558] and then stimulated with IL21 [Gene ID=59067].	18281483	99/193	Pablo Tamayo	0.040293593278003	0.27019571141439	10	25.4375	12.25	0.00256719084166643	3	2.02897543803587	2.0267736876748	1	41.2204052513528
2	M2656	CSR_EARLY_UP.V1_UP	http://www.broadinstitute.org/gsea/msigdb/cards/CSR_EARLY_UP.V1_UP.html	Genes up-regulated in early serum response of CRL 2091 cells (foreskin fibroblasts).	14737219	91/164	Pablo Tamayo	0.0733602944304055	0.352129413265946	17.5	34.5625	14.5	0.00475058361881584	1	0.750007385751041	-0.189737711868166	0	11.1838492755192
3	M2847	SIRNA_EIF4GI_UP	http://www.broadinstitute.org/gsea/msigdb/cards/SIRNA_EIF4GI_UP.html	Genes up-regulated in MCF10A cells vs knockdown of EIF4G1 [Gene ID=1981] gene by RNAi.	18426977	48/95	Pablo Tamayo	0.000598428931712044	0.0287245887221781	5	31.5	21	3.74123040031222e-05	1	0.798348943397537	-0.789498614541781	-1	27.5745710843871
4	M2660	CSR_LATE_UP.V1_UP	http://www.broadinstitute.org/gsea/msigdb/cards/CSR_LATE_UP.V1_UP.html	Genes up-regulated in late serum response of CRL 2091 cells (foreskin fibroblasts).	14737219	104/172	Pablo Tamayo	0.0408625548701681	0.27019571141439	40	33.8125	24	0.00260415909591211	6	0.681665089304485	-0.687479522245174	-1	11.3594740322941
5	M2846	SIRNA_EIF4GI_DN	http://www.broadinstitute.org/gsea/msigdb/cards/SIRNA_EIF4GI_DN.html	Genes down-regulated in MCF10A cells vs knockdown of EIF4G1 [Gene ID=1981] gene by RNAi.	18426977	57/99	Pablo Tamayo	0.223767883422713	0.572875688228826	20	36.4375	24	0.0157068210937918	5	1.13373189861366	1.20708197054483	1	12.3729860006306
6	M2861	KRAS.DF.V1_DN	http://www.broadinstitute.org/gsea/msigdb/cards/KRAS.DF.V1_DN.html	Genes down-regulated in epithelial lung cancer cell lines over-expressing an oncogenic form of KRAS [Gene ID=3845] gene.	GSE17643	127/194	Pablo Tamayo	0.137759920567744	0.450850649130798	12.5	36.8125	25.75	0.00922106856846291	4	1.23574059421547	-0.143345764380872	0	21.0840000423086
7	M2845	YAP1_UP	http://www.broadinstitute.org/gsea/msigdb/cards/YAP1_UP.html	Genes up-regulated in MCF10A cells (breast cancer) over-expressing YAP1 [Gene ID=10413] gene.	18413746	28/47	Pablo Tamayo	0.000309451149992064	0.0222804827994286	17.5	35.625	26.25	1.93435029044823e-05	1	0.797661430366508	-1.1456662425454	-1	30.109222723726
8	M2822	IL2_UP.V1_UP	http://www.broadinstitute.org/gsea/msigdb/cards/IL2_UP.V1_UP.html	Genes up-regulated in Sez-4 cells (T lymphocyte) that were first starved of IL2 [Gene ID=3558] and then stimulated with IL2 [Gene ID=3558].	18281483	111/192	Pablo Tamayo	0.036886167889838	0.27019571141439	30	46.4375	27.5	0.00234622258506264	3	1.75249164862864	1.85244427671294	1	34.8957479788233
9	M2648	CYCLIN_D1_KE_.V1_UP	http://www.broadinstitute.org/gsea/msigdb/cards/CYCLIN_D1_KE_.V1_UP.html	Genes up-regulated in MCF-7 cells (breast cancer) over-expressing a mutant K112E form of CCND1 [Gene ID=595] gene.	12914697	111/190	Pablo Tamayo	0.362377263687054	0.77884068613337	27.5	38.3125	31	0.0277336902351834	7	0.749082128422516	0.593142424605787	0	5.62791107783098
10	M2724	MEK_UP.V1_DN	http://www.broadinstitute.org/gsea/msigdb/cards/MEK_UP.V1_DN.html	Genes down-regulated in MCF-7 cells (breast cancer) positive for ESR1 [Gene ID=2099] MCF-7 cells (breast cancer) stably over-expressing constitutively active MAP2K1 [Gene ID=5604] gene.	16585219	116/196	Pablo Tamayo	0.113572350921064	0.442011311692789	35	43.5	32	0.00750642072164093	10	1.53109832903896	1.56835993459621	1	26.1014260798404
