Rank	ID	GeneSet	BroadUrl	Description	PubMedID	NumGenes	Contributor	p.value	p.adj	vote.rank	avg.rank	med.rank	min.pvalue	min.rank	avg.logfc	avg.logfc.dir	direction	significance	camera	roast	plage	zscore	gsva	ssgsea	ora	fry
1	M5903	HALLMARK_NOTCH_SIGNALING	http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_NOTCH_SIGNALING.html	Genes up-regulated by activation of Notch signaling.		20/32	Arthur Liberzon	0.0301120211548139	0.999793648179329	5	5.875	2.5	0.00381454355918289	1	0.271354526645825	-0.252492165043671	-1	10.5567608657425	1	3	8	2	10	1	20	2
2	M5930	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION.html	Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.		125/200	Arthur Liberzon	0.344472557144099	0.999793648179329	5	6.5	2.5	0.0514202271158108	1	1.07966212977639	-1.07966212977639	-1	64.444446807248	2	1	32	3	2	4	7	1
3	M5944	HALLMARK_ANGIOGENESIS	http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_ANGIOGENESIS.html	Genes up-regulated during formation of blood vessels (angiogenesis).		17/36	Arthur Liberzon	0.0895778073846021	0.999793648179329	5	9	4	0.0116623166790854	1	0.137129038714891	-0.144065233216007	-1	1.60830991593844	3	4	12	4	1	2	42	4
4	M5905	HALLMARK_ADIPOGENESIS	http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_ADIPOGENESIS.html	Genes up-regulated during adipocyte differentiation (adipogenesis).		125/200	Arthur Liberzon	0.623859226216683	0.999793648179329	10	11.75	6	0.115049861210951	1	0.255281358723674	0.339562149573094	1	9.48520614855386	6	5	39	1	6	10	21	6
5	M5916	HALLMARK_APICAL_SURFACE	http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_APICAL_SURFACE.html	Genes encoding proteins over-represented on the apical surface of epithelial cells, e.g., important for cell polarity (apical area).		30/44	Arthur Liberzon	0.523219815270935	0.999793648179329	5	14.25	7	0.0884305232849759	2	0.237717187428478	-0.171954562138545	-1	8.31425026132411	9	2	27	35	4	5	29	3
6	M5908	HALLMARK_ANDROGEN_RESPONSE	http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_ANDROGEN_RESPONSE.html	Genes defining response to androgens.		65/101	Arthur Liberzon	0.267595405445086	0.999793648179329	10	8.5	7.5	0.0381798250483447	3	0.247158803122304	-0.282001053222672	-1	8.94369729277448	5	7	9	10	3	3	23	8
7	M5913	HALLMARK_INTERFERON_GAMMA_RESPONSE	http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_INTERFERON_GAMMA_RESPONSE.html	Genes up-regulated in response to IFNG [GeneID=3458].		115/200	Arthur Liberzon	0.709810321409705	0.999793648179329	10	16.25	10	0.143287220682849	4	0.188846878344576	-0.210971491127747	-1	5.05619867603891	4	10	45	5	7	22	27	10
8	M5895	HALLMARK_WNT_BETA_CATENIN_SIGNALING	http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_WNT_BETA_CATENIN_SIGNALING.html	Genes up-regulated by activation of WNT signaling through accumulation of beta catenin CTNNB1 [GeneID=1499].		27/42	Arthur Liberzon	0.936637948141926	0.999793648179329	15	16.875	13	0.291681387233642	7	0.29233112055147	0.425124003978479	1	11.9552137568596	14	11	7	16	12	50	14	11
9	M5937	HALLMARK_GLYCOLYSIS	http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_GLYCOLYSIS.html	Genes encoding proteins involved in glycolysis and gluconeogenesis.		128/200	Arthur Liberzon	0.764322738594632	0.999793648179329	10	17.375	15	0.165282131521715	7	0.189057946254814	-0.156933555938845	-1	5.07027000385417	7	21	11	14	8	16	39	23
10	M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_TNFA_SIGNALING_VIA_NFKB.html	Genes regulated by NF-kB in response to TNF [GeneID=7124].		114/200	Arthur Liberzon	0.819143505643769	0.999793648179329	15	21.875	15.5	0.192454942258194	9	0.234342719153775	0.228910007576042	1	8.08928357054637	31	14	42	9	40	12	10	17
