Rank	ID	GeneSet	BroadUrl	Description	PubMedID	NumGenes	Contributor	p.value	p.adj	vote.rank.mean	avg.rank	med.rank	min.pvalue	min.rank	avg.logfc	avg.logfc.dir	direction	significance
1	M5903	HALLMARK_NOTCH_SIGNALING	http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_NOTCH_SIGNALING.html	Genes up-regulated by activation of Notch signaling.		20/32	Arthur Liberzon	0.000353368105778774	0.00883420264446934	5	7.3125	2.25	2.20891657182866e-05	1	0.559421998729658	-0.549990817928581	-1	21.6936133017299
2	M5905	HALLMARK_ADIPOGENESIS	http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_ADIPOGENESIS.html	Genes up-regulated during adipocyte differentiation (adipogenesis).		125/200	Arthur Liberzon	0.0228876408317158	0.190730340264299	7.5	7.3125	4	0.00144605528336635	1	0.838098871762994	0.928939562863976	1	16.6191762170955
3	M5908	HALLMARK_ANDROGEN_RESPONSE	http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_ANDROGEN_RESPONSE.html	Genes defining response to androgens.		65/101	Arthur Liberzon	0.000309454767796477	0.00883420264446934	7.5	8.75	6	1.93437290828758e-05	1	0.632495325561597	-0.752904900479336	-1	24.2029552943458
4	M5930	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION.html	Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.		125/200	Arthur Liberzon	0.0911433260647934	0.432871980402344	12.5	12.5	10	0.00595518912618087	1	1.17812980152325	-1.19866227956434	-1	39.0305078115016
5	M5947	HALLMARK_IL2_STAT5_SIGNALING	http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_IL2_STAT5_SIGNALING.html	Genes up-regulated by STAT5 in response to IL2 stimulation.		115/200	Arthur Liberzon	0.0012149038732086	0.0151862984151075	17.5	13.875	12	7.59747679707259e-05	1	1.55748898008957	1.59838149976554	1	74.9492886047562
6	M5913	HALLMARK_INTERFERON_GAMMA_RESPONSE	http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_INTERFERON_GAMMA_RESPONSE.html	Genes up-regulated in response to IFNG [GeneID=3458].		115/200	Arthur Liberzon	0.345859823389295	0.823475769974512	15	15.6875	12.25	0.0261783478902282	3	0.662240507297389	0.426662429519499	0	5.45533616963463
7	M5910	HALLMARK_PROTEIN_SECRETION	http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_PROTEIN_SECRETION.html	Genes involved in protein secretion pathway.		58/96	Arthur Liberzon	0.0360505155431542	0.246149536875528	15	15	12.5	0.00229214325351437	4	0.844578355688446	-0.833930225244697	-1	13.4895584643022
8	M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_CHOLESTEROL_HOMEOSTASIS.html	Genes involved in cholesterol homeostasis.		45/74	Arthur Liberzon	0.000552682237111028	0.00921137061851714	15	17.1875	14	3.45515919697243e-05	3	1.41696731552622	-0.976518202796893	-1	54.2705444163544
9	M5902	HALLMARK_APOPTOSIS	http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS.html	Genes mediating programmed cell death (apoptosis) by activation of caspases.		101/161	Arthur Liberzon	0.380044870810306	0.863738342750695	17.5	18.3125	16	0.0294397151482386	9	0.912751371847474	0.679332990618461	0	7.10479632397779
10	M5938	HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY	http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY.html	Genes up-regulated by reactive oxigen species (ROS).		36/49	Arthur Liberzon	0.129173709362609	0.496821959086957	17.5	17.625	16.75	0.00860729075268522	3	0.937068712865341	0.988917531088784	1	13.788630743648
