Rank	ID	GeneSet	NumGenes	Type	p.value	p.adj	vote.rank	avg.rank	med.rank	min.pvalue	min.rank	avg.logfc	avg.logfc.dir	direction	significance	camera	roast	plage	zscore	gsva	ssgsea	ora	fry
1	hsa04940	Type I diabetes mellitus	15/43	Disease	0.00853699619571532	0.0793583296395369	10	58.625	8	0.00107113156332761	1	0.887516238695852	-0.7877812365224	-1	24.4218846140142	7	7	11	1	5	158	271	9
2	hsa02010	ABC transporters	29/45	Signaling	0.00556488161669927	0.0773372384838933	10	36.375	10	0.000697309673464695	5	1.4629658510673	1.87191030155264	1	40.6682492079681	9	9	162	5	38	11	49	8
3	hsa00620	Pyruvate metabolism	22/39	Metabolism	0.000200655503013467	0.0116380191747811	5	20.25	12	2.50841400154849e-05	1	2.06743146373936	-2.25144966023187	-1	100	70	12	12	41	19	3	4	1
4	hsa04114	Oocyte meiosis	63/124	Signaling	0.0457336453177803	0.205701780013684	15	54.125	15.5	0.00583446908071259	2	1.26877702151364	1.25217817690156	1	21.7888906407413	11	18	176	2	12	137	64	13
5	hsa00760	Nicotinate and nicotinamide metabolism	14/29	Metabolism	0.00860820200711753	0.0793583296395369	15	79.75	19	0.00108009959533981	4	0.808261407902861	0.808261407902861	1	22.240781793952	23	14	130	6	4	206	240	15
6	hsa00565	Ether lipid metabolism	21/45	Metabolism	0.0216478256271798	0.139508209597381	10	74.125	21.5	0.00273195854938608	7	0.396113468784058	0.505695149592471	1	8.47127593886001	8	17	193	18	7	99	226	25
7	hsa00071	Fatty acid degradation	26/44	Metabolism	0.00685301165170763	0.078125732856319	5	67.625	22	0.000859205842539482	3	0.387624934176977	0.370462241106921	1	10.730718283752	28	8	104	3	3	177	202	16
8	hsa03022	Basal transcription factors	23/45	Signaling	0.00379930758882666	0.0664713503124877	5	58.75	22.5	0.000475704727962795	2	1.97412532136106	1.97412532136106	1	58.1249932285412	27	2	244	43	18	9	123	4
9	hsa04710	Circadian rhythm	14/31	Signaling	0.0097426235780758	0.0830988481659407	15	33.25	24.5	0.00122305064537634	11	1.92050879000946	1.92050879000946	1	51.8892476838245	63	11	43	29	70	20	13	17
10	hsa00592	alpha-Linolenic acid metabolism	16/25	Metabolism	0.0055527989901079	0.0773372384838933	5	51.375	25	0.000695791960436835	1	0.514884850270971	0.569441352481617	1	14.3112918773398	1	27	51	4	2	75	228	23
