Rank	ID	GeneSet	NumGenes	Type	p.value	p.adj	vote.rank.mean	avg.rank	med.rank	min.pvalue	min.rank	avg.logfc	avg.logfc.dir	direction	significance
1	hsa00620	Pyruvate metabolism	22/39	Metabolism	0.000401270743396044	0.0232737031169706	7.5	23	15	2.50841400154849e-05	1	1.68459076269995	-1.70511909139778	-1	50.0000893951468
2	hsa05332	Graft-versus-host disease	11/41	Disease	0.00685243268518197	0.124200342418923	5	89.3125	16.25	0.000429658820837431	1	0.42515277771592	-0.429569523177481	-1	15.2355733946793
3	hsa02010	ABC transporters	29/45	Signaling	0.0110987953259907	0.147230395354951	10	44.375	17.5	0.000697309673464695	5	1.22505394849172	1.42952617373439	1	20.3341917174117
4	hsa00290	Valine, leucine and isoleucine biosynthesis	3/4	Metabolism	0.00011774191461689	0.00853628880972453	27.5	34.6875	19.5	7.35927584166284e-06	1	0.497198621023693	-0.647806015049839	-1	15.1585002407894
5	hsa05020	Prion diseases	20/35	Disease	0.0595495969813917	0.33762715477399	30	77.5	32.25	0.00382991997188809	11	1.23182818370123	1.29111238225524	1	19.4018562296802
6	hsa00565	Ether lipid metabolism	21/45	Metabolism	0.0428270228999748	0.264251843425376	17.5	66.1875	32.5	0.00273195854938608	7	0.323722316792708	0.404133028400941	1	4.23565296997256
7	hsa04940	Type I diabetes mellitus	15/43	Disease	0.017001112087385	0.151951249474541	35	81.8125	33.25	0.00107113156332761	1	0.636862108879325	-0.586027051763968	-1	12.2109668600313
8	hsa03022	Basal transcription factors	23/45	Signaling	0.00758418043949879	0.125312372567424	40	58.125	33.5	0.000475704727962795	2	1.10372643043312	1.13014226127892	1	29.0625103397289
9	hsa04974	Protein digestion and absorption	57/90	Signaling	0.229467270722625	0.672947087247427	32.5	63.3125	36	0.0161600737093243	7	0.788182729964549	-0.777732247091431	-1	7.59746013924288
10	hsa00590	Arachidonic acid metabolism	34/62	Metabolism	0.201447632606278	0.621487377189582	12.5	60.1875	38.25	0.0139612951165953	2	1.79876496408348	1.79876496408348	1	9.07928322997869
