"","G03_G02_T03","G03_G02_T04"
"GSE37416_0H_VS_48H_F_TULARENSIS_LVS_NEUTROPHIL_UP",2.9537854770408,1.96237595877655
"GSE22601_DOUBLE_NEGATIVE_VS_IMMATURE_CD4_SP_THYMOCYTE_DN",1.60597381148511,1.81052083801818
"GSE13762_CTRL_VS_125_VITAMIND_DAY5_DC_UP",-1.35827712563287,1.65242094234995
"GSE22025_PROGESTERONE_VS_TGFB1_AND_PROGESTERONE_TREATED_CD4_TCELL_UP",0.255818263258904,0.664512768467497
"GSE33424_CD161_HIGH_VS_INT_CD8_TCELL_DN",-1.52195376428842,-1.02713719630328
"GSE37416_CTRL_VS_12H_F_TULARENSIS_LVS_NEUTROPHIL_UP",-0.234737685110835,-1.22210644411509
"GSE29618_LAIV_VS_TIV_FLU_VACCINE_DAY7_BCELL_UP",3.3032576056533,3.04301263857188
"GSE2770_IL12_AND_TGFB_ACT_VS_ACT_CD4_TCELL_48H_DN",0.409953222548894,2.27954875870705
"GSE360_CTRL_VS_L_MAJOR_MAC_DN",1.46445156049222,1.39932965245746
"GSE2405_0H_VS_6H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_DN",1.85939840498182,2.04611308065054
