"","G03_G02_T03","G03_G02_T04"
"HALLMARK_NOTCH_SIGNALING",-0.252492165043671,-0.84748947081349
"HALLMARK_ADIPOGENESIS",0.339562149573094,1.51831697615486
"HALLMARK_ANDROGEN_RESPONSE",-0.282001053222672,-1.223808747736
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",-1.07966212977639,-1.31766242935229
"HALLMARK_IL2_STAT5_SIGNALING",1.53672324795278,1.6600397515783
"HALLMARK_INTERFERON_GAMMA_RESPONSE",-0.210971491127747,1.06429635016675
"HALLMARK_PROTEIN_SECRETION",-0.160329894184438,-1.50753055630496
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",-0.253313574225449,-1.69972283136834
"HALLMARK_APOPTOSIS",-0.183738077135867,1.54240405837279
"HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY",0.402258581362724,1.57557648081484
