"","G03_G02_T03","G03_G02_T04"
"Pyruvate metabolism",-1.15878852256369,-2.25144966023187
"Graft-versus-host disease",-0.350956262973929,-0.508182783381032
"ABC transporters",0.987142045916138,1.87191030155264
"Valine, leucine and isoleucine biosynthesis",-0.678328697195539,-0.61728333290414
"Prion diseases",0.510073273069217,2.07215149144127
"Ether lipid metabolism",0.302570907209412,0.505695149592471
"Type I diabetes mellitus",-0.384272867005535,-0.7877812365224
"Basal transcription factors",0.286159201196767,1.97412532136106
"Protein digestion and absorption",-0.18769475798061,-1.36776973620225
"Arachidonic acid metabolism",2.06719219020593,1.53033773796104
